Host,cidade,UF,SLA,Latitude,Longitude
1040779,PATROCINIO PAULISTA,SP, SP/RJ,-20.64526258,-47.27181144
1063427,CONTAGEM,MG, MG/PR/MT,-19.96156,-44.015815
120847,MACEIO,AL, Regioes Metropolitanas,-9.6284067,-35.73800964
1033097,CACHOEIRA DO SUL,RS, Demais Regioes,-30.02045045,-52.9099402
43141,SALVADOR,BA, Regioes Metropolitanas,-13.0003,-38.517
252360,LINS,SP, SP/RJ,-21.67704379,-49.76486539
1084614,BERTIOGA,SP, SP/RJ,-23.78883859,-46.03153783
644510,SAO JOAO DE MERITI,RJ, SP/RJ,-22.78195069,-43.39150087
1038130,SANTANA DO LIVRAMENTO,RS, Demais Regioes,-30.89493729,-55.52595714
840866,PORTO NACIONAL,TO, Regioes Metropolitanas,-10.68921087,-48.39121878
1061829,LUCAS DO RIO VERDE,MT, MG/PR/MT,-13.079992,-55.936838
70564,CONTAGEM,MG, Regioes Metropolitanas,-19.934247,-44.034375
1039576,CURITIBANOS,SC, Regioes Metropolitanas,-27.293694,-50.576479
1032286,FORTALEZA,CE, Regioes Metropolitanas,-3.786736,-38.549158
1036173,BELEM,PA, Regioes Metropolitanas,-1.441659,-48.478408
1023024,MONTES CLAROS,MG, MG/PR/MT,-16.71886,-43.860898
1042274,AQUIRAZ,CE, Regioes Metropolitanas,-3.847301,-38.396882
272884,GUARULHOS,SP, SP/RJ,-23.41758595,-46.44389763
134864,MANAUS,AM, Regioes Metropolitanas,-3.09252487,-60.03517931
1017833,RONDONOPOLIS,MT, MG/PR/MT,-16.4736213,-54.61144926
1022948,SOBRAL,CE, Demais Regioes,-3.68457114,-40.34351979
1037537,PALMAS,TO, Regioes Metropolitanas,-10.21795678,-48.33151518
1034529,VARGINHA,MG, MG/PR/MT,-21.561253,-45.444053
1010689,FORTALEZA,CE, Regioes Metropolitanas,-3.7413277,-38.49542354
1052280,GUARULHOS,SP, SP/RJ,-23.4468598,-46.5215085
1098014,IGARAPE,MG, MG/PR/MT,-20.0710948,-44.3215067
1024506,CAPIVARI,SP, SP/RJ,-22.968573,-47.47439
1044125,IPAUSSU,SP, SP/RJ,-23.049771,-49.623865
1016926,BAURU,SP, SP/RJ,-22.32176253,-49.07624354
1023300,ICARA,SC, Demais Regioes,-28.70745767,-49.29949251
1109409,CARIACICA,ES, Regioes Metropolitanas,-20.331024,-40.42809
1016920,BAURU,SP, SP/RJ,-22.31189714,-49.08451667
1044819,FORTALEZA,CE, Regioes Metropolitanas,-3.77250105,-38.58913168
1023075,SAO PAULO,SP, SP/RJ,-23.597241,-46.635045
1037519,SAO JOSE DOS CAMPOS,SP, SP/RJ,-23.203673,-45.945492
1095977,FRANCISCO BELTRAO,PR, MG/PR/MT,-26.047769,-53.053715
1048036,GUARAPUAVA,PR, MG/PR/MT,-25.352432,-51.485122
896020,MONGAGUA,SP, SP/RJ,-24.09189494,-46.61934405
1048044,CONTAGEM,MG, MG/PR/MT,-19.9269156,-44.1240091
1025609,MATINHOS,PR, MG/PR/MT,-25.812128,-48.533743
1023272,Ibiraiaras,RS, Demais Regioes,-28.370179,-51.636256
1036724,ACOPIARA,CE, Demais Regioes,-6.086595,-39.461341
87157,JUNDIAI,SP, SP/RJ,-23.1525649,-46.8732817
1009016,PARANAGUA,PR, MG/PR/MT,-25.52948619,-48.52002722
1019426,OLIMPIA,SP, SP/RJ,-20.739594,-48.91056
873934,FORTALEZA,CE, Regioes Metropolitanas,-3.73358308,-38.50598971
364509,BELEM,PA, Regioes Metropolitanas,-1.45755316,-48.46902343
1051433,BELO HORIZONTE,MG, MG/PR/MT,-19.875416,-43.93274
1022926,SERRA,ES, Regioes Metropolitanas,-20.123957,-40.304736
1054065,SOCORRO,SP, SP/RJ,-22.582383,-46.528363
1041447,PATOS,PB, Demais Regioes,-7.006471,-37.288486
151041,AMPARO,SP, SP/RJ,-22.70005836,-46.76750918
49778,SAO JOSE DOS CAMPOS,SP, SP/RJ,-23.2835629,-45.8043538
